Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5541.70
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,9072.63
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5541.70
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,9072.63
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,10889.04
"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,5577.40
"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,5574.61
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,5564.24
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,7213.62
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,5493.81
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,6732.47
"New York, United States Of America - San Francisco, United States Of America",JFK,SFO,40.6,-73.79,37.61,-122.39,4154.52
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,5564.24
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,9631.51
"Los Angeles, United States Of America - New York, United States Of America",JFK,LAX,40.6,-73.79,34.05,-118.24,3955.67
"Cape Town, South Africa - Johannesburg, South Africa",JNB,CPT,-26.1,28.23,-33.97,18.59,1274.62
"New York, United States Of America - Sao Paulo, Brazil",JFK,GRU,40.6,-73.79,-23.42,-46.48,7660.74
"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18,975.16
"London, United Kingdom - Tokyo, Japan",LHR,NRT,51.5,-0.45,35.75,140.39,9592.64
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,5493.81
"London, United Kingdom - Moscow, Russia",DME,LHR,55.4,37.9,51.47,-0.45,2544.75
"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98,15341.06
"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23,8235.46
"Boston, United States Of America - London, United Kingdom",LHR,BOS,51.5,-0.45,42.21,-71,5250.84
"London, United Kingdom - San Francisco, United States Of America",SFO,LHR,37.6,-122.39,51.47,-0.45,8621.54
"London, United Kingdom - Sao Paulo, Brazil",LHR,GRU,51.5,-0.45,-23.42,-46.48,9464.62
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,10889.04
"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,1251.23
"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,12974.57
"Chicago, United States Of America - New York, United States Of America",ORD,LGA,41.6,-98.93,40.77,-73.88,2091.54
"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71,286.58
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6834.98
"Johannesburg, South Africa - Nairobi, Kenya",JNB,NBO,-26.1,28.23,-1.28,36.81,2909.44
"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,567.43
"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,1243.59
"Cape Town, South Africa - London, United Kingdom",LHR,CPT,51.5,-0.45,-33.97,18.59,9686.89
"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,617.77
"Doha, Qatar - London, United Kingdom",LHR,DOH,51.5,-0.45,25.27,51.56,5239.91
"London, United Kingdom - Philadelphia, United States Of America",PHL,LHR,45.1,-89.01,51.47,-0.45,6182.60
"Hong Kong, Hong Kong - London, United Kingdom",HKG,LHR,22.3,113.94,51.47,-0.45,9635.13
"Frankfurt, Germany - London, United Kingdom",LHR,FRA,51.5,-0.45,50.05,8.56,653.46
"Houston, United States Of America - New York, United States Of America",IAH,LGA,30,-95.34,40.77,-73.88,2275.70
"Istanbul, Turkey - London, United Kingdom",IST,LHR,41,28.99,51.47,-0.45,2523.10
"New York, United States Of America - Paris, France",JFK,CDG,40.6,-73.79,49.01,2.54,5838.12
"London, United Kingdom - Miami, United States Of America",MIA,LHR,33.4,-110.87,51.47,-0.45,8405.43
"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,10838.33
"London, United Kingdom - Washington Dc, United States Of America",LHR,IAD,51.5,-0.45,38.96,-77.45,5901.68
"London, United Kingdom - Singapore, Singapore",LHR,SIN,51.5,-0.45,1.34,103.98,10884.81
"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,1568.60
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,2574.27
"Houston, United States Of America - Newark, United States Of America",IAH,EWR,30,-95.34,40.69,-74.18,2249.03
"Dallas, United States Of America - New York, United States Of America",LGA,DFW,40.8,-73.88,32.87,-97.04,2233.72
"Newark, United States Of America - Toronto Island, Canada",YTZ,EWR,43.6,-79.4,40.69,-74.18,538.41
"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56,-3.34,51.5,0.05,547.77
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,7029.00
"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,10829.36
"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,1992.12
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,2574.27
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7212.75
"London, United Kingdom - Stockholm, Sweden",LHR,ARN,51.5,-0.45,60.74,15.85,1433.87
"Glasgow, United Kingdom - Madras, India",MAA,GLA,51.5,-0.45,55.86,-4.43,551.08
"Durban, South Africa - Johannesburg, South Africa",JNB,DUR,-26.1,28.23,-29.96,30.95,505.56
"Accra, Ghana - London, United Kingdom",LHR,ACC,51.5,-0.45,5.6,-0.17,5105.35
"London, United Kingdom - Tokyo, Japan",NRT,LHR,35.8,140.39,51.47,-0.45,9590.39
"London, United Kingdom - Tel Aviv-yafo, Israel",LHR,TLV,51.5,-0.45,32.01,34.89,3590.58
"Accra, Ghana - Johannesburg, South Africa",JNB,ACC,-26.1,28.23,5.6,-0.17,4670.52
"New York, United States Of America - Sao Paulo, Brazil",GRU,JFK,-23.4,-46.48,40.64,-73.79,7662.65
"Cairo, Egypt - Johannesburg, South Africa",JNB,CAI,-26.1,28.23,30.05,31.25,6253.63
"Atlanta, United States Of America - New York, United States Of America",ATL,LGA,42.9,-83.53,40.77,-73.88,833.51
"Athens, Greece - London, United Kingdom",ATH,LHR,37.9,23.72,51.47,-0.45,2416.01
"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,334.81
"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,12974.57
"London, United Kingdom - Los Angeles, United States Of America",LAX,LHR,34.1,-118.24,51.47,-0.45,8739.59
"Dallas, United States Of America - London, United Kingdom",DFW,LHR,32.9,-97.04,51.47,-0.45,7630.02
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,6410.91
"London, United Kingdom - Paris, France",ORY,LCY,48.7,2.37,51.5,0.05,352.64
"Dar Es Salaam, United Rep. Of Tanzania - Mtwara, United Rep. Of Tanzania",MYW,DAR,-10.3,40.18,-6.88,39.2,395.36
"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,617.77
"Dar Es Salaam, United Rep. Of Tanzania - Johannesburg, South Africa",DAR,JNB,-6.9,39.2,-26.13,28.23,2434.47
"Mexico City, Mexico - New York, United States Of America",MEX,JFK,19.4,-99.16,40.64,-73.79,3374.57
"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86,3925.39
"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,367.95
"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,757.17
"Bombay, India - Newark, United States Of America",BOM,EWR,19.1,72.86,40.69,-74.18,12548.63
"New York, United States Of America - Toronto, Canada",LGA,YYZ,40.8,-73.88,43.68,-79.61,570.08
"Johannesburg, South Africa - New York, United States Of America",JFK,JNB,51.5,-0.45,-26.13,28.23,9078.82
"Beijing, China - London, United Kingdom",LHR,PEK,51.5,-0.45,40.07,116.58,8153.38
